trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-100,-562.8409701487079,"{0: 75, 1: 15, 2: 25, 3: 3, 4: 7}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-79,-440.29770598275576,"{0: 64, 1: 6, 2: 22, 3: 0, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-68,-433.90410939157704,"{0: 60, 1: 10, 2: 14, 3: 2, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,5,-88.62606978331338,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-66,-92.21384016517055,"{0: 77, 1: 4, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-47,-233.10918231359665,"{0: 48, 1: 6, 2: 7, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-13,-119.12994848808502,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,9,-7.093655080016509,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,-28,-137.904808116003,"{0: 41, 1: 1, 2: 8, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,2,-25.110092793456875,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,3,-30.96202256863112,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,3,-68.20884250564657,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,14,-16.486165754983283,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,-32,-69.25277233223316,"{0: 44, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,14,20.564539119682046,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,3,-18.80689430650363,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,17,27.832655784501252,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,13,-21.98430072328656,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,14.018433986869454,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,-29.82153908211844,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,4,-9.38599712021945,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,13,13.545893576212569,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,1,0.29389565675434337,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,-7,42.631374283986304,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,2,-1.956718997629448,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,10,31.14316893658504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,11.540637980346757,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,19.457201556433155,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,10,21.707870587164383,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,8,40.03815520801805,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
