trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,-100,-602.7154015885806,"{0: 82, 1: 10, 2: 22, 3: 0, 4: 11}",0
2,False,"{'a': 0.5, 'e': 0.9801}",20,-11,-120.78537958158812,"{0: 19, 1: 4, 2: 5, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",35,11,-96.26713730979425,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.96059601}",30,-100,-409.69898078565,"{0: 89, 1: 13, 2: 20, 3: 2, 4: 6}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,-100,-433.7764724453648,"{0: 82, 1: 14, 2: 22, 3: 1, 4: 6}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,-17,-234.32578158548606,"{0: 26, 1: 6, 2: 4, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,-67,-405.93173546745373,"{0: 63, 1: 8, 2: 18, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,9,-23.700901610640823,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,-29,-227.84297189830374,"{0: 28, 1: 7, 2: 10, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,-56,-233.60186703600237,"{0: 49, 1: 6, 2: 18, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,7.568554650386886,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,-42,-154.8598060366918,"{0: 41, 1: 6, 2: 14, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,-51,-404.8610264333332,"{0: 43, 1: 7, 2: 13, 3: 1, 4: 7}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,6,-75.4648093021654,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",35,-19,-134.42446934770348,"{0: 37, 1: 8, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,13,-6.412860404408035,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,-55,-258.3172290281769,"{0: 51, 1: 8, 2: 11, 3: 1, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,-15,-69.02718186386038,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,4,-90.20275090005744,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,4,-6.822179474371379,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,-13,-176.93597843170713,"{0: 20, 1: 1, 2: 8, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",35,2,-153.15082528318587,"{0: 21, 1: 0, 2: 10, 3: 0, 4: 2}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,-64,-275.6060844009938,"{0: 54, 1: 9, 2: 16, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,-20,-119.59422478123787,"{0: 25, 1: 5, 2: 9, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,-24,-125.11357694709405,"{0: 32, 1: 7, 2: 8, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,-100,-526.1149546421902,"{0: 84, 1: 7, 2: 19, 3: 0, 4: 10}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",20,-18,-119.56439006137568,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",25,0,-20.985810350563646,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,-52,-208.88532091465007,"{0: 49, 1: 9, 2: 9, 3: 2, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,-76,-348.13382796073455,"{0: 64, 1: 7, 2: 17, 3: 4, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,4,-49.43516872843802,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",30,18,-5.133847296326705,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,-13,-94.94991706048171,"{0: 25, 1: 5, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,16,-31.01348635689991,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",30,23,0.7948706237898508,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,-6,-61.20129916449949,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",25,-1,-35.87242734352533,"{0: 17, 1: 5, 2: 4, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,-13,-125.61709121015839,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-44.82371136282616,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,-11,-126.74126156563423,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,20,9.82951013402072,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",30,6,-97.4291656424831,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 2}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,4,-35.720882444544685,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,6,-16.347616953339067,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,-44,-178.68038926180074,"{0: 47, 1: 6, 2: 7, 3: 0, 4: 4}",0
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,-8,-106.48161149801535,"{0: 23, 1: 3, 2: 5, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,2,-64.76449575107146,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
