trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.1458108503917,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.9864697422552,"{0: 15, 1: 9, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.89225472871513,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-220.6031505183742,"{0: 17, 1: 2, 2: 7, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.62562735495294,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-229.58711027538754,"{0: 11, 1: 3, 2: 5, 3: 3, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.11901689456505,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,22,-62.19741393884898,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.73472675761116,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.1989440743974,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.12269580883904,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.26473186977026,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.418168426935,"{0: 14, 1: 1, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.11630663299307,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.72723005137199,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.03334735252899,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.30999162707955,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.59063033209327,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.88388885074733,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.75758824734105,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-181.10861874708706,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.49271851769846,"{0: 10, 1: 4, 2: 11, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,2,-87.79372302032752,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-51.7236129092068,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.00513284163623,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.73002332117588,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,16,5.997303804905934,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.33307677774981,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.99837542777479,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,12,-9.077039318445664,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
